arvl_stn_cd,arvl_stn_nm,dptre_stn_cd,dptre_stn_nm,run_ymd_plan,trn_no,trn_plan_arvl_dt,trn_plan_dptre_dt,mrnt_cd,mrnt_nm,run_ymd_info,stn_cd,stn_nm,stop_se_cd,stop_se_nm,trn_arvl_dt,trn_dptre_dt,trn_run_sn,uppln_dn_se_cd,plan_arvl_min,plan_dptre_min,real_arvl_min,real_dptre_min,day_of_week,delay_min,delay_label,travel_min,time_slot,is_weekend,arvl_stn_nm_enc,dptre_stn_nm_enc,mrnt_nm_enc,uppln_dn_se_cd_enc,collected_date
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900023,서울,01,시발,,2026-03-24 05:13:00,1,D,-1.5511998528552697,-1.5567939524681513,330.0,313.0,5,-48.27505827505828,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900883,광명,11,여객승하차,2026-03-24 05:30:00,2026-03-24 05:32:00,2,D,-1.5511998528552697,-1.5567939524681513,330.0,332.0,5,-140.0,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900073,대전,11,여객승하차,2026-03-24 06:10:00,2026-03-24 06:14:00,3,D,-1.5511998528552697,-1.5567939524681513,370.0,374.0,5,-100.0,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900096,동대구,11,여객승하차,2026-03-24 06:55:00,2026-03-24 06:58:00,4,D,-1.5511998528552697,-1.5567939524681513,415.0,418.0,5,-55.0,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900895,경주,11,여객승하차,2026-03-24 07:15:00,2026-03-24 07:16:00,5,D,-1.5511998528552697,-1.5567939524681513,435.0,436.0,5,-35.0,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900896,울산,11,여객승하차,2026-03-24 07:28:00,2026-03-24 07:29:00,6,D,-1.5511998528552697,-1.5567939524681513,448.0,449.0,5,-22.0,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00001,2026-04-25 07:50:00,2026-04-25 05:13:00,01,경부선,20260324,3900114,부산,05,종착,2026-03-24 07:50:00,,7,D,-1.5511998528552697,-1.5567939524681513,470.0,379.0,5,0.0,0,-0.04613080955600206,0,1,0,1,0,0,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900114,부산,01,시발,,2026-03-24 05:09:00,1,U,-1.541130008680112,-1.5703934123255594,400.5,309.0,5,-48.27505827505828,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900896,울산,11,여객승하차,2026-03-24 05:31:00,2026-03-24 05:32:00,2,U,-1.541130008680112,-1.5703934123255594,331.0,332.0,5,-142.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900096,동대구,11,여객승하차,2026-03-24 05:56:00,2026-03-24 05:58:00,3,U,-1.541130008680112,-1.5703934123255594,356.0,358.0,5,-117.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900894,김천구미,11,여객승하차,2026-03-24 06:20:00,2026-03-24 06:22:00,4,U,-1.541130008680112,-1.5703934123255594,380.0,382.0,5,-93.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900073,대전,11,여객승하차,2026-03-24 06:45:00,2026-03-24 06:47:00,5,U,-1.541130008680112,-1.5703934123255594,405.0,407.0,5,-68.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900884,천안아산,11,여객승하차,2026-03-24 07:09:00,2026-03-24 07:11:00,6,U,-1.541130008680112,-1.5703934123255594,429.0,431.0,5,-44.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900883,광명,11,여객승하차,2026-03-24 07:33:00,2026-03-24 07:36:00,7,U,-1.541130008680112,-1.5703934123255594,453.0,456.0,5,-20.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900023,서울,3900114,부산,2026-04-25,00002,2026-04-25 07:53:00,2026-04-25 05:09:00,01,경부선,20260324,3900023,서울,05,종착,2026-03-24 07:51:00,,8,U,-1.541130008680112,-1.5703934123255594,471.0,391.5,5,-2.0,0,0.030145999997797397,0,1,1,0,0,1,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900023,서울,01,시발,,2026-03-24 05:27:00,1,D,-1.4639278700039038,-1.5091958429672232,407.5,327.0,5,-48.27505827505828,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900883,광명,11,여객승하차,2026-03-24 05:44:00,2026-03-24 05:46:00,2,D,-1.4639278700039038,-1.5091958429672232,344.0,346.0,5,-152.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900884,천안아산,11,여객승하차,2026-03-24 06:08:00,2026-03-24 06:10:00,3,D,-1.4639278700039038,-1.5091958429672232,368.0,370.0,5,-128.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900073,대전,11,여객승하차,2026-03-24 06:32:00,2026-03-24 06:35:00,4,D,-1.4639278700039038,-1.5091958429672232,392.0,395.0,5,-104.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900894,김천구미,11,여객승하차,2026-03-24 06:58:00,2026-03-24 07:00:00,5,D,-1.4639278700039038,-1.5091958429672232,418.0,420.0,5,-78.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900096,동대구,11,여객승하차,2026-03-24 07:21:00,2026-03-24 07:24:00,6,D,-1.4639278700039038,-1.5091958429672232,441.0,444.0,5,-55.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900895,경주,11,여객승하차,2026-03-24 07:42:00,2026-03-24 07:43:00,7,D,-1.4639278700039038,-1.5091958429672232,462.0,463.0,5,-34.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900896,울산,11,여객승하차,2026-03-24 07:54:00,2026-03-24 07:55:00,8,D,-1.4639278700039038,-1.5091958429672232,474.0,475.0,5,-22.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
3900114,부산,3900023,서울,2026-04-25,00003,2026-04-25 08:16:00,2026-04-25 05:27:00,01,경부선,20260324,3900114,부산,05,종착,2026-03-24 08:16:00,,9,D,-1.4639278700039038,-1.5091958429672232,496.0,397.0,5,0.0,0,0.08462943539336844,0,1,0,1,0,0,20260324
